Left context;Center;Right context;Publ_year;Sphere;Type;Medium;;Full context
 стянутая со всего полуострова и ; без умолку ; стучавшая над каменистым мысочком ;1982 ;художественная ;повесть ;книга ;; Вражеская зенитка, стянутая со всего полуострова и без умолку стучавшая над каменистым мысочком, «мессеры», в одиночку и парами поднимавшиеся с херсонесского аэродрома ИЛам наперехват, чтобы прикрыть эвакуацию своих транспортов, наконец, издалека видные, густые, затруднявшие рассмотрение земли дымы подсказывали, что одна быстрая атака будет оправдана.  [Артем Анфиногенов. А внизу была земля (1982)] [омонимия не снята]
 еще не знаю, телефон звонит ; без умолку ;, даже 100 не успеваю ;1998 ;художественная ;рассказ ;книга ;; Часы у меня все стоят, про 12.20 уже или еще не знаю, телефон звонит без умолку, даже 100 не успеваю набрать…  [Андрей Битов. Неистовый Роландо, или Как правильно смотреть телевизор (1982)] [омонимия не снята]
 На всех уроках новенькая трещала ; без умолку ;.  ;1982 ;художественная ;повесть ;книга ;; На всех уроках новенькая трещала без умолку.  [Ирина Пивоварова. Тройка с минусом или происшествие в 5 «А» (1982)] [омонимия не снята]
 говорила о своем.  Они болтали ; без умолку ;.  А теперь, въехав в ;1981 ;художественная ;роман, отрывок ;журнал ;; Жена говорила о своем.  Они болтали без умолку.  А теперь, въехав в Хайфу, притихли, и оказалось, что они так ни словом и не обмолвились о деле, из-за которого была затеяна вся эта поездка.  [Гассан Канафани (перевод). Возвращение в Хафу // «Огонек», 1981] [омонимия не снята]
   Люба Хикс говорила ; без умолку ;, перескакивая с предмета на ;1991 ;художественная ;роман ;книга ;;  Люба Хикс говорила без умолку, перескакивая с предмета на предмет, вспоминая революцию и пикники в Юсуповском дворце, в Архангельском.  [Н. Н. Берберова. Железная женщина (1978-1980)] [омонимия не снята]
   Ленечка ; без умолку ; двигался, улыбался своим толстым ;1999 ;художественная ;рассказ ;книга ;;  Ленечка без умолку двигался, улыбался своим толстым редкозубым ртом, так ослепительно не стесняясь, плакал от счастья видеть ее своими пустыми, как облачка в высоком небе, глазами, и, какую бы безразличную чушь он ни молол, он только признавался в любви, только еще раз, чуть иначе, рассказывал, как ради нее все, что ни происходит на земле, или, как все, что ни происходит, все ? о ней. [Андрей Битов. Лес (1960-1980)] [омонимия не снята]
  То она хохочет, тараторит ; без умолку ;, то, глядишь, задумалась, уже ;1980 ;художественная ;рассказ ;журнал ;; То она хохочет, тараторит без умолку, то, глядишь, задумалась, уже и глаза покраснели.  [С. Макеев. Айболиты // «Работница», 1980] [омонимия не снята]
 так день начался ? Нюра болтала ; без умолку ;, благо слушатель ей попался ;2002 ;художественная ;рассказ ;книга ;; Но сегодня ? уж так день начался ? Нюра болтала без умолку, благо слушатель ей попался отменный.  [Дина Рубина. День уборки (1980)] [омонимия не снята]
 шизофреническое недержание слов, он говорил ; без умолку ;, кричал, кипятился, пенился, и ;1987 ;художественная ;роман ;книга ;; Могу притаранить…» У Маркуши было неисцелимое, шизофреническое недержание слов, он говорил без умолку, кричал, кипятился, пенился, и иногда, чтобы остановить, требовалось его слегка ударить.  [Ю. В. Трифонов. Время и место (1980)] [омонимия не снята]
   Пока ехали, Антон ; без умолку ; болтал о своей новой ;2008 ;художественная ;роман ;книга ;;  Пока ехали, Антон без умолку болтал о своей новой идеологии, может быть, он решил за дорогу до аэропорта обратить и дедушку в свою веру.  [Василий Аксенов. Остров Крым (авторская редакция) (1977-1979)] [омонимия не снята]
 слышал Сашка, как говорил тот ; без умолку ;, похохатывал, рукой здоровой размахивал ;2004 ;художественная ;повесть ;книга ;; Всю дорогу слышал Сашка, как говорил тот без умолку, похохатывал, рукой здоровой размахивал, словно чокнутый какой.  [Вячеслав Кондратьев. Сашка (1979)] [омонимия не снята]
 болтал бы очень интересно и ; без умолку ;.  ;1979 ;художественная ;рассказ ;книга ;; Что именно он говорил бы, Виктор Петрович не представлял себе, но ему казалось, что он болтал бы очень интересно и без умолку.  [И. Меттер. Возвращение (1979)] [омонимия не снята]
  Папа Кальман говорил ; без умолку ; и этим не то ;1985 ;художественная ;повесть ;книга ;; Папа Кальман говорил без умолку и этим не то чтобы скрасил, а смазал тягостные и патетические минуты расставания.  [Ю. М. Нагибин. Блестящая и горестная жизнь Имре Кальмана (1972-1979)] [омонимия не снята]
 и мало того, что балаболил ; без умолку ; — к концу обеда у ;1985 ;художественная ;рассказ ;книга ;; Прежде ее соседом был Сашок, и мало того, что балаболил без умолку — к концу обеда у Верочки немело левое ухо, — но и неизменно залезал к ней в тарелку.  [Ю. М. Нагибин. Сирень (1972-1979)] [омонимия не снята]
 не просыхающие колдобины, Сергей Васильевич ; без умолку ; болтал с Татушей.  ;1985 ;художественная ;рассказ ;книга ;;  Пока они тряслись разбитым большаком, объезжая по пыльным замученным травам сроду не просыхающие колдобины, Сергей Васильевич без умолку болтал с Татушей.  [Ю. М. Нагибин. Сирень (1972-1979)] [омонимия не снята]
 и онемел, а этот тараторил ; без умолку ;, то и дело взбегал ;1985 ;художественная ;рассказ ;книга ;; При таком энтузиазме настоящий гид давно бы выдохся и онемел, а этот тараторил без умолку, то и дело взбегал на какие-то кручи летучим шагом сухих оленьих ног, что-то выглядывал с высоты и длинными скачками устремлялся вниз.  [Ю. М. Нагибин. Трое и одна и еще один (1972-1979)] [омонимия не снята]
 такой беседе, и мы говорим ; без умолку ;, пока наш конвоир не ;1990 ;публицистика ,  нехудожественная ;мемуары ;книга ;; Он рад такой беседе, и мы говорим без умолку, пока наш конвоир не подытоживает задумчиво:  [Е. С. Гинзбург. Крутой маршрут: Часть 2 (1975-1977)] [омонимия не снята]
  И она ; без умолку ; говорила всю дорогу, объясняя ;1990 ;публицистика ,  нехудожественная ;мемуары ;книга ;; И она без умолку говорила всю дорогу, объясняя Ваське сразу про все.  [Е. С. Гинзбург. Крутой маршрут: Часть 2 (1975-1977)] [омонимия не снята]
   Вика ; без умолку ; щебетал и в ракете ;1977 ;художественная ;роман ;книга ;;  Вика без умолку щебетал и в ракете.  [Сергей Жемайтис. Большая лагуна (1977)] [омонимия не снята]
   Пуффи болтал ; без умолку ;, а я сидел на ;1977 ;художественная ;роман ;книга ;;  Пуффи болтал без умолку, а я сидел на краю бассейна, слушал и думал, как там сейчас, в глубине, идет бой с отрядом белых акул.  [Сергей Жемайтис. Большая лагуна (1977)] [омонимия не снята]
